indicator,country,iso3,value
General Population,Cameroon,CMR,12.0
General Population,CAR,CAF,9.0
General Population,Chad,TCD,9.520000000000001
General Population,DRC,COD,4.9
General Population,Equatorial Guinea,GNQ,4.6
General Population,Gabon,GAB,5.800000000000001
General Population,São Tomé and Príncipe,STP,4.0
General Population,Ethiopia,ETH,9.4
General Population,Kenya,KEN,3.0
General Population,Madagascar,MDG,7.9
General Population,Rwanda,RWA,0.25
General Population,Somalia,SOM,5.0
General Population,Sudan,SDN,8.0
General Population,Uganda,UGA,4.1000000000000005
General Population,Libya,LBY,2.1999999999999997
General Population,Morocco,MAR,0.7
General Population,Eswatini,SWZ,2.0
General Population,Lesotho,LSO,0.05
General Population,Malawi,MWI,1.6
General Population,Benin,BEN,9.6
General Population,Burkina Faso,BFA,9.1
General Population,Côte d'Ivoire,CIV,6.0
General Population,Gambia,GMB,10.0
General Population,Ghana,GHA,9.1
General Population,Guinea-Bissau,GNB,18.7
General Population,Mali,MLI,12.1
General Population,Niger,NER,4.760000000000001
General Population,Nigeria,NGA,8.1
General Population,Sierra Leone,SLE,13.8
Under-5,CAR,CAF,1.7999999999999998
Under-5,Chad,TCD,5.5
Under-5,DRC,COD,2.1999999999999997
Under-5,Ethiopia,ETH,0.65
Under-5,Somalia,SOM,1.5
Under-5,Uganda,UGA,0.6
Under-5,Morocco,MAR,0.1
Under-5,Eswatini,SWZ,2.1
Under-5,Lesotho,LSO,1.2
Under-5,Benin,BEN,2.9
Under-5,Côte d'Ivoire,CIV,3.8
Under-5,Ghana,GHA,2.13
Under-5,Nigeria,NGA,6.17
Under-5,Sierra Leone,SLE,1.3
Mother-to-Child Transmission,CAR,CAF,70.0
Mother-to-Child Transmission,Seychelles,SYC,0.0
Mother-to-Child Transmission,Somalia,SOM,10.0
Mother-to-Child Transmission,Burkina Faso,BFA,3.5999999999999996
Mother-to-Child Transmission,Côte d'Ivoire,CIV,16.0
Mother-to-Child Transmission,Gambia,GMB,2.8000000000000003
Mother-to-Child Transmission,Ghana,GHA,1.4000000000000001
Mother-to-Child Transmission,Sierra Leone,SLE,7.9
Adult Incidence,CAR,CAF,0.064
Adult Incidence,Chad,TCD,0.0612
Adult Incidence,DRC,COD,0.0001
Adult Incidence,Seychelles,SYC,0.00023
Adult Incidence,Libya,LBY,0.0006
Adult Incidence,Morocco,MAR,0.0005
Adult Incidence,Eswatini,SWZ,0.6
Adult Incidence,Benin,BEN,0.0001
Adult Incidence,Ghana,GHA,0.0005
Adult Incidence,Sierra Leone,SLE,1.2
Drug Users Incidence,Madagascar,MDG,0.274
Drug Users Incidence,Seychelles,SYC,0.00023
Drug Users Incidence,Sierra Leone,SLE,0.012
Combined Mortality,CAR,CAF,0.031
Combined Mortality,DRC,COD,0.19
Combined Mortality,Morocco,MAR,0.0006
Combined Mortality,Eswatini,SWZ,0.0004
Combined Mortality,Côte d'Ivoire,CIV,0.012
Combined Mortality,Gambia,GMB,0.03
Combined Mortality,Ghana,GHA,0.0001
